The data is taken from SM-sinsquare13=0.normh_y.dat produced by the sm in Astray/SM+osciillations, oscillations are taken into account, mass hieararchy is normal
xx=1.276137e+02, dx=2.521190e-01, T=1.400445e+00; time needed till here: 2.000000e+00 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau_normh	Coll_nu_tau_normh	Cforw_nu_tau_normh	Cback_nu_tau_normh
2.272727e+01	8.953720e-08	3.840824e-22	1.500214e-10	0.000000e+00	-0.000000e+00	0.000000e+00	1.485088e-10	0.000000e+00	-0.000000e+00	0.000000e+00	1.430987e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.303030e+01	7.211576e-08	3.575309e-22	1.110689e-10	0.000000e+00	-0.000000e+00	0.000000e+00	1.099231e-10	0.000000e+00	-0.000000e+00	0.000000e+00	1.058266e-10	0.000000e+00	-0.000000e+00	0.000000e+00
2.333333e+01	5.808405e-08	3.325346e-22	8.223337e-11	0.000000e+00	-0.000000e+00	0.000000e+00	8.136577e-11	0.000000e+00	-0.000000e+00	0.000000e+00	7.826481e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.363636e+01	4.678252e-08	3.090263e-22	6.088575e-11	0.000000e+00	-0.000000e+00	0.000000e+00	6.022885e-11	0.000000e+00	-0.000000e+00	0.000000e+00	5.788174e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.393939e+01	3.767995e-08	2.869401e-22	4.507929e-11	0.000000e+00	-0.000000e+00	0.000000e+00	4.458201e-11	0.000000e+00	-0.000000e+00	0.000000e+00	4.280576e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.424242e+01	3.034849e-08	2.662108e-22	3.337800e-11	0.000000e+00	-0.000000e+00	0.000000e+00	3.300160e-11	0.000000e+00	-0.000000e+00	0.000000e+00	3.165752e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.454545e+01	2.444352e-08	2.467747e-22	2.471106e-11	0.000000e+00	-0.000000e+00	0.000000e+00	2.442614e-11	0.000000e+00	-0.000000e+00	0.000000e+00	2.340920e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.484848e+01	1.968749e-08	2.285691e-22	1.829684e-11	0.000000e+00	-0.000000e+00	0.000000e+00	1.808144e-11	0.000000e+00	-0.000000e+00	0.000000e+00	1.731276e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.515152e+01	1.585686e-08	2.115330e-22	1.354514e-11	0.000000e+00	-0.000000e+00	0.000000e+00	1.338216e-11	0.000000e+00	-0.000000e+00	0.000000e+00	1.280088e-11	0.000000e+00	-0.000000e+00	0.000000e+00
2.545455e+01	1.277156e-08	1.956068e-22	1.002934e-11	0.000000e+00	-0.000000e+00	0.000000e+00	9.906159e-12	0.000000e+00	-0.000000e+00	0.000000e+00	9.466917e-12	0.000000e+00	-0.000000e+00	0.000000e+00
2.575758e+01	1.028657e-08	1.807328e-22	7.425356e-12	0.000000e+00	-0.000000e+00	0.000000e+00	7.332208e-12	0.000000e+00	-0.000000e+00	0.000000e+00	7.000217e-12	0.000000e+00	-0.000000e+00	0.000000e+00
2.606061e+01	8.285091e-09	1.668547e-22	5.495535e-12	0.000000e+00	-0.000000e+00	0.000000e+00	5.424968e-12	0.000000e+00	-0.000000e+00	0.000000e+00	5.173720e-12	0.000000e+00	-0.000000e+00	0.000000e+00
