xx=6.801460e+00, dx=1.000000e-02, T=1.160608e+00; time needed till here: 3.407000e+03 seconds.
       y	f_photons	f_electrons	  f_nu_e	Coll_nu_e	Cforw_nu_e	Cback_nu_e	 f_nu_mu	Coll_nu_mu	Cforw_nu_mu	Cback_nu_mu	f_nu_tau	Coll_nu_tau	Cforw_nu_tau	Cback_nu_tau
1.252525e+01	2.056432e-05	1.367751e-05	3.838963e-06	8.850744e-09	-7.455377e-09	1.630612e-08	3.684744e-06	4.674721e-09	-5.564030e-09	1.023875e-08	3.524622e-06	3.286772e-09	-8.229922e-09	1.151669e-08
1.272727e+01	1.727897e-05	1.156442e-05	3.140254e-06	7.447583e-09	-6.200842e-09	1.364842e-08	3.010275e-06	3.856552e-09	-4.619639e-09	8.476191e-09	2.877963e-06	2.810805e-09	-6.806806e-09	9.617611e-09
1.292929e+01	1.451849e-05	9.775976e-06	2.568801e-06	6.292376e-09	-5.157040e-09	1.144942e-08	2.459295e-06	3.204148e-09	-3.835081e-09	7.039229e-09	2.349940e-06	2.390933e-09	-5.627190e-09	8.018123e-09
1.313131e+01	1.219904e-05	8.262652e-06	2.101409e-06	5.311456e-09	-4.289719e-09	9.601174e-09	2.009188e-06	2.657327e-09	-3.184591e-09	5.841918e-09	1.918788e-06	2.022005e-09	-4.647335e-09	6.669340e-09
1.333333e+01	1.025013e-05	6.982405e-06	1.719115e-06	4.497520e-09	-3.567519e-09	8.065038e-09	1.641478e-06	2.217384e-09	-2.643611e-09	4.860995e-09	1.566739e-06	1.719227e-09	-3.837340e-09	5.556567e-09
1.353535e+01	8.612590e-06	5.899565e-06	1.406412e-06	3.824326e-09	-2.967401e-09	6.791727e-09	1.341074e-06	1.866114e-09	-2.194978e-09	4.061093e-09	1.279280e-06	1.457863e-09	-3.168080e-09	4.625943e-09
1.373737e+01	7.236659e-06	4.983877e-06	1.150625e-06	3.210750e-09	-2.466704e-09	5.677454e-09	1.095659e-06	1.531060e-09	-1.821822e-09	3.352882e-09	1.044564e-06	1.231812e-09	-2.615597e-09	3.847409e-09
1.393939e+01	6.080545e-06	4.209686e-06	9.413807e-07	2.590264e-09	-2.049082e-09	4.639346e-09	8.951669e-07	1.150172e-09	-1.510905e-09	2.661077e-09	8.529040e-07	1.036892e-09	-2.159238e-09	3.196129e-09
1.414141e+01	5.109131e-06	3.555247e-06	7.702128e-07	2.219613e-09	-1.702187e-09	3.921800e-09	7.313673e-07	9.851338e-10	-1.253077e-09	2.238211e-09	6.964096e-07	8.716771e-10	-1.781710e-09	2.653387e-09
1.434343e+01	4.292908e-06	3.002134e-06	6.301875e-07	1.899144e-09	-1.414237e-09	3.313381e-09	5.975436e-07	8.415131e-10	-1.039405e-09	1.880918e-09	5.686299e-07	7.374438e-10	-1.470342e-09	2.207786e-09
1.454545e+01	3.607084e-06	2.534737e-06	5.156372e-07	1.607083e-09	-1.174797e-09	2.781880e-09	4.882116e-07	7.009971e-10	-8.618874e-10	1.562885e-09	4.642960e-07	6.195845e-10	-1.213251e-09	1.832836e-09
1.474747e+01	3.030825e-06	2.139837e-06	4.219243e-07	1.360194e-09	-9.761288e-10	2.336323e-09	3.988881e-07	5.840432e-10	-7.148373e-10	1.298881e-09	3.791061e-07	5.203158e-10	-1.001064e-09	1.521380e-09
1.494949e+01	2.546629e-06	1.806239e-06	3.452554e-07	1.155965e-09	-8.107827e-10	1.966748e-09	3.259107e-07	4.918847e-10	-5.928344e-10	1.084719e-09	3.095478e-07	4.382193e-10	-8.262282e-10	1.264448e-09
1.515152e+01	2.139786e-06	1.524470e-06	2.825207e-07	9.820781e-10	-6.729665e-10	1.655045e-09	2.662883e-07	4.147286e-10	-4.913993e-10	9.061280e-10	2.527518e-07	3.690358e-10	-6.820951e-10	1.051131e-09
1.535354e+01	1.797940e-06	1.286510e-06	2.311822e-07	8.338463e-10	-5.581270e-10	1.391973e-09	2.175700e-07	3.493269e-10	-4.068885e-10	7.562154e-10	2.063701e-07	3.101387e-10	-5.629103e-10	8.730490e-10
